"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FAM78B",2.41298338599121e-06,-4.43258546739975,0.002,0.055,0.10314538781758
"PLAGL1",2.416683805248e-06,1.12715510336374,0.079,0.035,0.103303565939131
"SP2",2.42743591641877e-06,0.435072022960562,0.124,0.064,0.103763175683237
"HRASLS",2.4290210862307e-06,-1.28231878732564,0.064,0.146,0.103830935352017
"RBP4",2.43907749705982e-06,-2.84610539598864,0.012,0.071,0.104260806689319
"TP53I13",2.44609161152901e-06,0.415554915719644,0.229,0.143,0.104560632026419
"AP002387.2",2.46229118072218e-06,-1.51854988827859,0.024,0.089,0.10525309881115
"SACM1L",2.46500682985537e-06,0.72997702544793,0.107,0.054,0.105369181948998
"MRPL45",2.46896322739599e-06,0.385217147306761,0.26,0.169,0.105538302118269
"MICU2",2.4698975101108e-06,0.27400295005505,0.279,0.181,0.105578238967196
"RP3-323P24.3",2.47110362712467e-06,1.4143504976409,0.036,0.011,0.105629795645071
"HELZ2",2.48227250917511e-06,0.342360145392188,0.15,0.083,0.106107220677199
"MIB1",2.48382548347326e-06,0.393875321697644,0.179,0.105,0.106173604116548
"PLOD1",2.48519444963012e-06,0.136030320170373,0.25,0.157,0.106232121943889
"SMCR8",2.49014234424261e-06,0.85082604950367,0.06,0.024,0.106443624646994
"MIR200CHG",2.49021777531277e-06,-1.41701796745514,0.026,0.093,0.10644684902352
"PAFAH1B1",2.50373038328796e-06,0.328660988890367,0.379,0.266,0.107024458964027
"FAM200A",2.50964992672862e-06,0.791148624690949,0.076,0.034,0.107277495767942
"CDK4",2.52479931233056e-06,-0.834136017406467,0.495,0.516,0.107925071404882
"TBK1",2.53265344395765e-06,0.386854804034738,0.143,0.078,0.108260804115414
"VRK2",2.54866552464343e-06,-0.881484019741137,0.117,0.205,0.108945256516408
"NUBP1",2.55075171488142e-06,0.433211103703508,0.226,0.14,0.109034432804321
"DNAH11",2.55264609220677e-06,1.33400169528931,0.038,0.012,0.10911540985747
"POLG2",2.55546827109302e-06,0.716079535502592,0.09,0.043,0.109236046716142
"ANKIB1",2.5562489608126e-06,0.470852140065455,0.219,0.137,0.109269418078895
"SPRY2",2.55759625714687e-06,-3.49240865701317,0.014,0.074,0.109327009608
"TRAPPC6B",2.56493844555791e-06,0.519447555989978,0.183,0.109,0.109640858793819
